,De #1,De #2,De #3,De #4,De #5,Somme
104,1,1,1,0,1,4
105,1,1,1,2,2,7
106,0,2,1,0,1,4
107,0,0,0,0,6,6
108,1,0,1,2,4,8
109,1,0,1,1,6,9
110,1,1,1,2,5,10
111,1,1,0,0,4,6
112,1,0,2,4,5,12
113,0,1,1,4,4,10
114,0,4,1,1,4,10
115,1,0,2,0,1,4
116,2,1,0,1,5,9
117,0,1,0,2,0,3
118,1,0,1,4,1,7
119,1,1,0,1,0,3
120,1,0,4,0,1,6
121,0,1,0,1,2,4
122,0,1,1,0,1,3
123,0,0,1,4,1,6
124,1,1,0,5,5,12
125,1,0,1,1,5,8
126,0,4,1,2,1,8
127,1,0,2,1,5,9
128,1,1,1,1,6,10
129,2,0,0,4,2,8
130,5,0,1,0,6,12
131,2,1,4,0,1,8
132,1,0,1,4,1,7
133,1,0,0,1,1,3
134,0,0,0,0,2,2
135,0,0,1,0,1,2
136,1,0,1,2,5,9
137,1,0,1,2,0,4
138,0,0,1,0,0,1
139,1,1,0,0,2,4
140,0,0,1,0,6,7
141,2,1,0,1,0,4
142,2,1,1,4,2,10
143,0,2,0,1,1,4
144,1,0,0,0,1,2
145,0,0,1,0,1,2
146,2,0,1,2,6,11
147,0,0,1,4,2,7
148,1,0,1,5,5,12
149,1,1,0,2,2,6
150,0,1,0,4,5,10
151,0,0,0,4,1,5
152,1,1,0,0,0,2
153,1,0,4,5,6,16
154,0,1,1,1,1,4
155,1,0,0,2,6,9
156,1,0,2,0,5,8
157,2,1,1,2,6,12
158,2,2,0,0,4,8
159,1,0,1,1,4,7
160,0,1,2,1,5,9
161,0,1,2,1,6,10
162,0,1,1,4,4,10
163,1,1,1,1,4,8
164,0,0,1,2,5,8
165,0,1,0,1,1,3
166,0,1,1,5,6,13
167,0,4,0,1,1,6
168,0,0,1,0,6,7
169,1,1,0,5,2,9
170,4,1,1,0,0,6
171,0,2,1,6,1,10
172,1,0,1,0,1,3
173,2,0,0,1,5,8
174,1,0,0,1,1,3
175,0,0,0,2,6,8
176,0,1,1,0,1,3
177,0,1,0,1,4,6
178,0,2,1,1,0,4
179,2,0,1,1,5,9
180,0,0,0,0,0,0
181,0,1,0,2,5,8
182,0,2,5,5,4,16
183,2,1,0,1,0,4
184,2,1,2,1,0,6
185,2,1,0,1,1,5
186,2,1,2,0,6,11
187,4,1,0,5,4,14
188,0,2,0,4,6,12
189,1,0,0,1,5,7
190,1,0,1,2,0,4
191,1,1,0,2,1,5
192,1,1,1,0,1,4
193,1,0,0,0,0,1
194,1,0,4,1,0,6
195,1,0,0,1,4,6
196,1,2,5,1,0,9
197,0,0,0,2,2,4
198,0,0,0,1,0,1
199,1,1,1,1,2,6
200,0,0,1,0,5,6
201,0,1,4,0,1,6
202,2,0,0,1,6,9
203,1,1,0,1,6,9
204,2,2,1,0,0,5
205,1,1,0,1,0,3
206,1,0,1,5,5,12
207,0,0,0,2,0,2
208,2,1,0,2,0,5
209,0,1,0,6,4,11
210,0,0,1,2,5,8
211,0,1,1,2,2,6
212,0,4,0,5,1,10
213,1,1,0,2,1,5
214,0,1,0,4,4,9
215,0,1,0,2,0,3
216,0,0,2,0,6,8
217,0,1,0,1,0,2
218,1,1,1,1,2,6
219,0,0,0,1,0,1
220,2,2,0,0,6,10
221,0,0,2,4,5,11
222,0,0,1,0,1,2
223,0,1,0,2,6,9
224,0,1,1,2,2,6
225,0,0,2,0,0,2
226,1,4,2,4,6,17
227,1,0,1,1,1,4
228,0,1,1,1,6,9
229,1,1,0,2,2,6
230,4,0,0,1,1,6
231,0,1,1,0,5,7
232,0,2,0,0,0,2
233,1,0,1,4,5,11
234,1,0,2,0,0,3
235,1,0,1,4,5,11
236,0,0,4,1,0,5
237,1,0,1,1,1,4
238,1,1,0,2,4,8
239,1,1,0,1,2,5
240,1,2,1,0,2,6
241,0,0,1,4,1,6
242,1,2,0,0,1,4
243,1,1,0,4,6,12
244,0,0,1,5,6,12
245,1,0,0,0,0,1
246,1,0,5,5,5,16
247,0,1,1,0,5,7
248,0,0,0,1,1,2
249,0,0,1,1,4,6
250,0,0,1,0,2,3
251,0,1,0,2,2,5
252,0,0,0,2,1,3
253,1,0,0,0,4,5
254,0,1,1,6,0,8
255,1,1,0,2,5,9
256,1,1,1,0,4,7
257,1,1,0,0,5,7
258,1,0,1,0,6,8
259,1,1,1,0,4,7
260,1,1,5,4,0,11
261,1,0,0,0,0,1
262,1,0,1,0,5,7
263,1,1,1,4,4,11
264,1,1,0,1,6,9
265,0,1,1,0,2,4
266,1,0,1,4,1,7
267,1,0,1,0,0,2
268,1,1,1,1,1,5
269,0,1,0,1,1,3
270,0,1,1,4,2,8
271,1,2,2,5,1,11
272,1,0,0,0,0,1
273,1,1,0,0,0,2
274,0,0,2,1,1,4
275,0,0,1,0,4,5
276,1,0,2,0,1,4
277,4,0,1,1,2,8
278,1,1,0,0,4,6
279,1,0,1,2,2,6
280,0,1,1,0,4,6
281,0,1,0,6,2,9
282,0,0,2,2,1,5
283,1,1,1,5,4,12
284,1,0,0,1,4,6
285,1,1,1,6,2,11
286,0,2,1,2,4,9
287,0,0,1,6,4,11
288,0,1,2,0,0,3
289,0,0,0,0,5,5
290,2,2,1,0,1,6
291,0,0,0,2,6,8
292,1,0,0,0,6,7
293,0,0,2,2,1,5
294,1,1,0,2,6,10
295,0,1,0,1,1,3
296,1,0,0,0,1,2
297,1,0,0,0,4,5
298,1,1,1,0,4,7
299,0,1,0,1,1,3
300,0,1,0,0,6,7
301,1,0,1,0,1,3
302,1,0,1,2,5,9
303,0,0,1,1,0,2
304,0,0,1,0,4,5
305,1,1,2,2,4,10
306,2,0,1,1,4,8
307,1,0,0,4,5,10
308,1,1,4,1,0,7
309,0,0,1,1,1,3
310,1,0,0,0,0,1
311,2,0,0,1,2,5
312,1,1,0,1,1,4
313,0,1,0,0,5,6
314,1,0,1,4,6,12
315,2,1,0,0,4,7
316,1,0,0,1,4,6
317,1,2,0,2,5,10
318,0,1,1,1,1,4
319,0,0,0,4,1,5
320,1,1,0,1,6,9
321,2,2,1,1,6,12
322,1,0,1,1,4,7
323,1,1,1,0,2,5
324,2,0,4,0,4,10
325,1,0,0,1,1,3
326,0,1,1,0,5,7
327,0,1,0,1,5,7
328,1,0,1,4,2,8
329,0,1,0,0,6,7
330,0,1,0,4,2,7
331,0,0,4,0,1,5
332,1,0,1,5,4,11
333,0,0,2,1,6,9
334,0,1,0,1,6,8
335,1,1,1,2,6,11
336,0,0,0,1,0,1
337,0,0,1,1,1,3
338,0,1,0,5,5,11
339,0,0,1,1,1,3
340,1,1,0,5,4,11
341,1,1,1,1,6,10
342,1,1,0,1,0,3
343,0,1,0,0,2,3
344,1,0,0,5,5,11
345,0,1,0,0,0,1
346,1,0,1,1,6,9
347,0,0,4,0,1,5
348,0,1,0,0,0,1
349,0,0,1,0,0,1
350,0,0,4,1,2,7
351,0,1,0,0,6,7
352,0,1,1,0,6,8
353,1,1,2,1,2,7
354,1,0,0,1,6,8
355,0,1,0,1,4,6
356,2,0,1,5,1,9
357,1,0,2,0,1,4
358,1,1,0,1,1,4
359,0,0,1,0,6,7
360,0,1,2,2,0,5
361,2,0,2,0,6,10
362,0,1,0,2,6,9
363,0,0,4,2,2,8
364,1,0,1,0,0,2
365,0,1,0,1,6,8
366,1,0,2,1,5,9
367,0,1,0,1,2,4
368,1,0,0,1,1,3
369,0,0,1,2,6,9
370,2,0,0,1,2,5
371,1,0,4,4,1,10
372,1,1,0,1,1,4
373,1,0,0,1,5,7
374,0,0,0,2,0,2
375,1,0,1,0,6,8
376,4,1,0,0,6,11
377,1,1,0,2,0,4
378,0,0,0,0,1,1
379,0,0,0,4,5,9
380,1,1,1,6,2,11
381,1,1,0,6,0,8
382,1,0,0,0,5,6
383,2,2,2,2,5,13
384,1,1,1,0,0,3
385,0,0,1,0,4,5
386,1,0,0,1,1,3
387,2,2,0,1,4,9
388,4,0,1,0,0,5
389,0,0,0,0,6,6
390,0,1,1,0,1,3
391,0,1,1,1,2,5
392,0,1,1,1,6,9
393,1,1,0,1,4,7
394,0,0,4,1,2,7
395,1,0,0,1,6,8
396,1,1,1,1,4,8
397,0,1,0,1,5,7
398,0,0,1,0,0,1
399,1,0,0,4,0,5
400,0,1,0,6,2,9
401,0,0,2,2,2,6
402,0,0,1,4,0,5
403,0,1,0,1,1,3
404,0,0,1,1,5,7
405,1,1,1,1,2,6
406,0,1,0,2,6,9
407,0,0,0,1,5,6
408,1,1,2,5,5,14
409,1,0,2,1,4,8
410,1,1,1,2,6,11
411,1,1,1,1,1,5
412,1,1,4,6,1,13
413,2,0,0,4,5,11
414,0,0,2,0,5,7
415,0,0,1,0,0,1
416,1,0,2,2,5,10
417,0,0,0,0,1,1
418,0,0,4,1,1,6
419,0,1,0,0,4,5
420,2,0,1,0,0,3
421,0,1,1,0,5,7
422,1,0,1,0,0,2
423,1,1,0,4,5,11
424,0,1,0,2,6,9
425,0,1,1,1,0,3
426,1,0,5,1,0,7
427,1,1,5,1,1,9
428,0,0,1,0,6,7
429,1,1,1,0,4,7
430,1,1,0,2,5,9
431,1,2,0,2,1,6
432,0,0,0,1,2,3
433,1,0,4,0,1,6
434,1,1,0,4,0,6
435,0,1,1,4,2,8
436,0,1,0,0,4,5
437,0,0,1,1,1,3
438,0,0,1,0,6,7
439,1,0,1,4,4,10
440,0,1,1,0,5,7
441,1,0,1,5,1,8
442,1,0,1,1,0,3
443,2,1,0,5,0,8
444,0,1,2,1,6,10
445,1,0,1,6,0,8
446,2,1,1,2,2,8
447,1,0,1,1,0,3
448,1,0,0,1,6,8
449,1,1,1,1,1,5
450,0,2,2,0,1,5
451,1,0,0,0,2,3
452,1,0,0,0,0,1
453,0,2,1,1,1,5
454,1,0,0,4,1,6
455,2,0,1,1,2,6
456,1,0,0,0,1,2
457,0,1,1,0,0,2
458,1,1,2,2,4,10
459,0,1,0,6,6,13
460,2,0,1,0,1,4
461,2,1,2,2,2,9
462,1,0,2,0,1,4
463,1,0,1,0,6,8
464,1,1,1,0,2,5
465,0,1,1,5,5,12
466,0,1,0,1,6,8
467,1,1,0,1,5,8
468,1,0,1,0,2,4
469,1,4,0,2,2,9
470,0,0,0,2,5,7
471,1,0,4,4,2,11
472,1,1,1,2,5,10
473,2,0,4,2,6,14
474,1,5,1,0,0,7
475,0,4,2,0,4,10
476,1,1,0,4,1,7
477,1,0,0,1,6,8
478,1,1,1,0,6,9
479,0,1,0,0,2,3
480,1,1,0,1,5,8
481,1,0,1,1,2,5
482,2,0,2,5,2,11
483,0,0,0,1,5,6
484,0,1,2,5,6,14
485,1,1,0,0,5,7
486,1,1,1,1,0,4
487,0,1,0,1,1,3
488,0,0,1,1,0,2
489,1,1,0,2,0,4
490,2,2,0,0,0,4
491,1,0,0,0,6,7
492,2,0,1,4,5,12
493,1,0,0,1,1,3
494,1,0,2,0,1,4
495,1,1,1,1,0,4
496,1,1,4,2,5,13
497,0,2,2,2,2,8
498,1,1,1,0,1,4
499,0,1,1,2,2,6
500,1,2,1,2,1,7
501,1,1,4,0,0,6
502,1,1,2,4,5,13
503,1,1,5,1,6,14
504,1,1,0,5,0,7
505,0,1,4,1,6,12
506,0,0,2,1,2,5
507,1,0,1,1,6,9
508,0,2,0,0,4,6
509,2,1,1,2,5,11
510,0,1,2,4,0,7
511,1,1,0,0,4,6
512,2,0,1,1,4,8
513,2,2,0,5,0,9
514,1,0,0,1,5,7
515,0,1,0,0,4,5
516,0,0,0,1,2,3
517,0,0,1,4,1,6
518,1,1,0,1,1,4
519,0,1,1,0,2,4
520,2,1,1,4,4,12
521,0,1,0,4,2,7
522,1,1,1,0,0,3
523,0,0,1,1,1,3
524,2,1,0,1,1,5
525,0,0,0,1,6,7
526,0,2,1,1,2,6
527,1,0,0,2,2,5
528,1,0,1,0,4,6
529,1,0,1,0,1,3
530,0,2,2,0,5,9
531,0,0,1,4,1,6
532,4,0,0,1,1,6
533,1,1,1,2,5,10
534,1,0,1,1,5,8
535,4,1,1,4,0,10
536,1,1,1,0,0,3
537,0,4,0,1,1,6
538,2,0,0,0,4,6
539,0,2,0,0,4,6
540,1,0,0,0,4,5
541,1,4,1,2,2,10
542,1,1,1,0,0,3
543,4,1,0,1,4,10
544,0,4,1,2,2,9
545,0,1,4,4,5,14
546,0,0,1,1,0,2
547,1,0,0,0,0,1
548,1,1,1,1,1,5
549,0,0,0,5,1,6
550,1,0,2,4,0,7
551,0,0,0,1,1,2
552,0,0,1,0,6,7
553,4,2,1,0,6,13
554,1,1,0,0,2,4
555,1,0,0,1,4,6
556,0,0,0,0,0,0
557,0,1,2,0,6,9
558,1,1,0,1,1,4
559,1,1,5,4,4,15
560,1,1,0,1,4,7
561,4,1,1,0,4,10
562,0,0,1,0,2,3
563,2,1,1,1,2,7
564,1,0,1,4,2,8
565,0,0,0,0,5,5
566,1,0,1,0,1,3
567,1,1,1,0,6,9
568,0,0,1,1,6,8
569,1,0,0,0,0,1
570,0,1,1,1,2,5
571,0,1,0,1,0,2
572,1,1,0,1,4,7
573,0,0,0,1,2,3
574,2,0,1,5,5,13
575,0,2,0,0,2,4
576,1,0,4,1,1,7
577,1,0,1,1,0,3
578,1,1,1,4,6,13
579,1,1,1,4,1,8
580,0,0,1,1,2,4
581,0,1,0,0,0,1
582,0,1,0,2,0,3
583,0,2,0,4,0,6
584,4,2,0,2,6,14
585,0,1,0,1,1,3
586,1,1,4,1,4,11
587,0,0,0,0,5,5
588,1,2,1,4,2,10
589,1,0,0,5,6,12
590,1,0,0,0,0,1
591,0,2,1,1,4,8
592,0,1,0,1,1,3
593,0,0,0,1,4,5
594,1,2,1,4,1,9
595,2,1,0,0,0,3
596,0,0,0,4,5,9
597,1,1,0,0,5,7
598,0,1,1,1,1,4
599,1,0,1,0,6,8
600,1,0,2,5,0,8
601,0,0,0,1,1,2
602,0,1,0,5,1,7
603,0,1,2,1,5,9
604,0,1,1,0,1,3
605,2,2,1,0,0,5
606,1,0,0,0,1,2
607,1,0,0,0,4,5
608,1,0,0,1,5,7
609,1,0,1,0,0,2
610,1,0,4,0,5,10
611,1,1,1,1,2,6
612,0,1,1,4,4,10
613,1,1,1,1,1,5
614,1,1,0,2,6,10
615,1,0,0,0,6,7
616,0,1,1,1,2,5
617,2,1,1,1,0,5
618,0,0,0,2,6,8
619,1,0,0,1,0,2
620,2,1,1,5,2,11
621,1,2,1,0,5,9
622,1,0,0,0,4,5
623,1,1,0,2,0,4
624,1,0,0,0,5,6
625,1,0,0,0,2,3
626,0,1,1,1,2,5
627,2,1,0,0,0,3
628,1,0,0,1,1,3
629,2,1,1,1,5,10
630,0,1,2,4,6,13
631,1,0,0,1,2,4
632,1,0,1,4,5,11
633,1,1,2,6,6,16
634,1,1,1,1,0,4
635,0,1,0,1,4,6
636,0,0,1,1,4,6
637,1,1,0,1,1,4
638,1,1,1,1,0,4
639,0,1,0,2,6,9
640,0,1,4,1,0,6
641,2,0,1,0,1,4
642,1,0,0,0,0,1
643,0,1,2,1,1,5
644,2,1,1,1,5,10
645,0,1,1,0,6,8
646,0,0,0,2,5,7
647,1,1,0,5,0,7
648,0,0,0,0,2,2
649,1,1,1,0,0,3
650,4,1,4,5,4,18
651,1,0,1,1,0,3
652,1,0,1,2,5,9
653,0,1,0,2,1,4
654,1,1,1,1,1,5
655,1,1,0,0,4,6
656,0,1,0,1,1,3
657,1,0,0,0,4,5
658,1,1,0,4,0,6
659,1,0,0,2,1,4
660,2,2,2,1,1,8
661,0,0,0,0,0,0
662,1,0,1,0,1,3
663,2,2,0,0,4,8
664,0,1,0,2,5,8
665,0,1,0,5,4,10
666,0,0,0,1,6,7
667,1,1,1,5,0,8
668,1,1,0,1,2,5
669,0,0,2,0,1,3
670,0,0,1,5,0,6
671,1,0,1,1,0,3
672,0,1,0,0,1,2
673,0,1,1,1,4,7
674,0,1,1,0,4,6
675,1,1,2,0,6,10
676,1,1,0,0,1,3
677,0,1,1,0,4,6
678,0,1,1,1,1,4
679,1,0,1,0,6,8
680,0,0,1,0,2,3
681,0,0,4,0,5,9
682,0,2,1,4,5,12
683,1,1,0,2,6,10
684,1,0,2,4,1,8
685,1,0,1,1,0,3
686,1,0,1,4,4,10
687,0,0,0,2,5,7
688,0,1,1,5,6,13
689,1,1,0,2,4,8
690,4,0,1,5,1,11
691,0,1,4,5,0,10
692,0,0,1,4,1,6
693,2,1,0,1,2,6
694,2,2,0,2,1,7
695,1,1,0,2,2,6
696,1,1,1,0,0,3
697,0,4,4,0,1,9
698,1,0,4,5,6,16
699,1,0,0,2,6,9
700,0,1,2,0,1,4
701,1,5,0,4,6,16
702,0,0,1,1,0,2
703,0,0,4,0,6,10
704,1,4,0,2,6,13
705,0,0,2,0,0,2
706,1,0,1,1,4,7
707,0,0,1,1,6,8
708,0,1,1,4,0,6
709,0,0,1,1,0,2
710,0,0,0,0,6,6
711,0,0,1,4,5,10
712,0,1,1,1,5,8
713,1,1,1,1,4,8
714,1,0,0,0,1,2
715,1,0,1,1,6,9
716,1,4,2,1,1,9
717,1,1,0,0,4,6
718,1,0,0,4,2,7
719,2,1,2,1,4,10
720,0,0,0,5,6,11
721,0,1,2,1,5,9
722,1,0,0,2,2,5
723,0,5,1,0,2,8
724,0,4,4,2,4,14
725,1,1,2,0,0,4
726,1,1,1,0,2,5
727,1,0,0,1,2,4
728,0,0,0,1,4,5
729,1,0,0,1,0,2
730,1,1,0,0,4,6
731,0,0,0,1,4,5
732,0,1,1,0,6,8
733,1,4,1,0,4,10
734,0,1,0,5,2,8
735,0,0,0,4,0,4
736,1,1,1,1,2,6
737,1,1,0,2,0,4
738,1,1,1,4,1,8
739,1,1,1,1,6,10
740,1,0,1,6,5,13
741,1,0,1,1,6,9
742,0,0,1,2,4,7
743,1,2,1,5,0,9
744,0,1,4,5,2,12
745,1,1,1,1,2,6
746,0,1,4,4,4,13
747,1,0,1,0,5,7
748,2,1,1,2,1,7
749,1,0,1,1,6,9
750,2,1,0,2,2,7
751,0,1,1,0,1,3
752,4,0,1,1,6,12
753,0,4,0,0,2,6
754,0,0,0,1,1,2
755,0,1,1,5,2,9
756,2,1,1,2,4,10
757,0,1,0,2,5,8
758,0,0,2,2,0,4
759,0,1,2,5,5,13
760,0,1,2,0,0,3
761,0,1,0,0,0,1
762,1,0,0,6,2,9
763,0,0,0,1,5,6
764,0,0,2,1,0,3
765,4,0,0,6,0,10
766,1,1,0,1,0,3
767,1,1,0,0,2,4
768,0,1,0,1,2,4
769,1,2,0,0,2,5
770,0,1,1,1,2,5
771,0,0,0,1,6,7
772,4,2,0,0,0,6
773,0,1,0,5,6,12
774,0,0,1,0,0,1
775,0,0,1,0,1,2
776,1,0,1,6,0,8
777,4,1,1,1,4,11
778,0,1,1,1,2,5
779,0,0,1,0,6,7
780,1,0,1,6,2,10
781,2,0,0,0,5,7
782,2,0,1,0,4,7
783,5,1,0,0,0,6
784,0,0,1,0,6,7
785,1,0,0,1,2,4
786,4,0,1,0,2,7
787,2,0,4,2,5,13
788,1,0,0,0,1,2
789,0,1,2,2,4,9
790,1,1,0,4,0,6
791,1,2,0,0,2,5
792,0,0,2,0,4,6
793,0,0,1,1,2,4
794,0,0,1,1,0,2
795,1,1,1,2,6,11
796,0,1,1,0,2,4
797,1,1,0,2,4,8
798,0,0,0,2,2,4
799,0,0,0,0,1,1
800,1,0,4,1,1,7
801,1,1,0,0,0,2
802,2,1,0,0,1,4
803,1,1,0,1,0,3
804,1,1,1,0,4,7
805,1,0,2,6,6,15
806,0,1,1,0,0,2
807,0,0,0,0,4,4
808,1,0,0,0,4,5
809,0,1,1,2,2,6
810,2,2,2,0,4,10
811,2,2,1,1,6,12
812,1,1,2,2,2,8
813,0,0,4,0,5,9
814,2,1,0,6,4,13
815,0,0,0,0,6,6
816,4,1,1,5,4,15
817,1,1,0,0,6,8
818,1,1,0,0,0,2
819,0,0,5,5,0,10
820,1,0,1,0,0,2
821,1,0,1,2,2,6
822,0,0,1,0,0,1
823,2,2,0,0,0,4
824,1,1,0,1,0,3
825,0,0,1,0,2,3
826,0,0,0,0,0,0
827,2,0,1,1,2,6
828,0,1,1,0,1,3
829,1,0,0,5,4,10
830,0,4,0,5,4,13
831,1,1,1,4,1,8
832,0,1,0,0,0,1
833,1,1,0,4,2,8
834,0,0,1,4,5,10
835,1,0,2,0,4,7
836,0,0,1,5,5,11
837,1,0,0,1,6,8
838,0,2,0,0,1,3
839,0,0,0,0,6,6
840,0,0,1,1,6,8
841,0,0,0,5,6,11
842,1,1,2,1,4,9
843,0,0,0,2,0,2
844,5,0,4,2,4,15
845,0,1,0,1,1,3
846,2,0,1,4,1,8
847,1,1,2,5,4,13
848,0,0,5,1,2,8
849,1,1,0,1,0,3
850,1,1,0,0,5,7
851,1,0,0,0,4,5
852,0,1,0,1,1,3
853,1,2,1,1,1,6
854,1,0,0,1,4,6
855,1,1,0,4,2,8
856,1,0,0,0,1,2
857,0,0,1,1,1,3
858,1,1,1,1,4,8
859,4,0,4,0,2,10
860,0,4,1,0,5,10
861,2,0,1,0,1,4
862,0,0,1,1,1,3
863,0,0,0,1,4,5
864,0,1,1,0,6,8
865,0,0,0,2,5,7
866,1,0,0,0,6,7
867,0,0,1,0,2,3
868,1,0,1,2,1,5
869,0,1,2,4,6,13
870,1,1,0,2,5,9
871,4,0,0,1,5,10
872,0,2,2,0,1,5
873,1,1,0,1,1,4
874,0,2,2,2,6,12
875,0,1,1,5,2,9
876,1,0,0,1,5,7
877,1,0,0,1,1,3
878,0,4,5,1,1,11
879,1,1,0,0,1,3
880,1,0,1,0,1,3
881,0,0,1,1,5,7
882,5,1,0,4,4,14
883,0,1,2,1,6,10
884,0,0,1,2,1,4
885,1,0,0,2,5,8
886,0,2,1,0,1,4
887,2,0,1,0,5,8
888,1,1,4,1,1,8
889,1,1,2,0,0,4
890,1,1,0,0,1,3
891,0,1,1,2,1,5
892,0,1,0,0,5,6
893,0,0,1,0,0,1
894,1,1,2,2,2,8
895,2,0,1,4,4,11
896,0,1,1,0,1,3
897,0,0,0,0,1,1
898,0,0,0,0,2,2
899,1,1,0,5,2,9
900,1,1,1,0,2,5
901,0,1,0,1,0,2
902,1,1,1,1,1,5
903,2,0,0,1,1,4
904,2,1,0,0,0,3
905,1,0,0,2,5,8
906,1,1,0,0,4,6
907,0,0,1,5,4,10
908,0,0,0,0,6,6
909,1,0,1,1,0,3
910,0,1,0,1,4,6
911,0,0,1,0,0,1
912,0,1,0,2,1,4
913,0,1,1,2,1,5
914,0,0,1,4,2,7
915,2,1,0,1,1,5
916,0,1,1,4,0,6
917,0,1,0,0,6,7
918,1,1,1,1,1,5
919,0,1,1,0,4,6
920,0,0,0,1,2,3
921,0,0,1,1,5,7
922,1,0,2,2,1,6
923,0,1,1,4,5,11
924,1,0,1,1,2,5
925,4,0,1,0,2,7
926,1,0,0,2,6,9
927,0,0,1,1,4,6
928,1,1,1,1,2,6
929,1,1,0,0,0,2
930,4,1,4,4,2,15
931,0,1,0,4,6,11
932,0,1,0,1,0,2
933,1,1,0,1,1,4
934,0,0,0,1,2,3
935,0,1,1,0,0,2
936,1,0,1,5,1,8
937,0,2,0,0,2,4
938,1,0,1,1,2,5
939,1,1,0,0,6,8
940,0,0,0,0,0,0
941,1,1,1,0,6,9
942,1,1,2,2,4,10
943,0,0,1,0,1,2
944,1,0,2,0,6,9
945,0,1,1,1,0,3
946,0,0,1,4,5,10
947,1,1,1,2,0,5
948,1,0,0,1,2,4
949,1,0,1,4,6,12
950,4,0,1,0,0,5
951,0,0,1,2,6,9
952,0,0,0,4,4,8
953,1,2,1,4,1,9
954,0,1,0,2,0,3
955,0,1,1,1,5,8
956,1,1,0,2,2,6
957,0,1,5,1,0,7
958,1,1,1,4,0,7
959,0,1,4,0,2,7
960,0,4,0,1,4,9
961,1,1,1,1,6,10
962,1,1,0,1,4,7
963,0,1,0,1,0,2
964,1,1,2,0,4,8
965,1,1,1,1,6,10
966,0,0,0,2,2,4
967,0,0,1,1,2,4
968,1,1,1,1,0,4
969,0,0,1,4,6,11
970,0,0,1,1,2,4
971,2,0,1,0,0,3
972,1,0,1,1,2,5
973,1,1,2,1,5,10
974,0,0,2,0,1,3
975,0,1,1,0,2,4
976,1,0,1,0,4,6
977,0,0,2,4,4,10
978,0,1,1,2,6,10
979,1,0,0,0,4,5
980,0,0,0,1,0,1
981,0,0,0,1,4,5
982,0,1,1,4,1,7
983,1,0,0,0,1,2
984,1,0,1,0,2,4
985,2,4,0,0,5,11
986,0,1,5,1,1,8
987,1,0,4,2,5,12
988,1,2,0,2,6,11
989,0,2,5,0,2,9
990,0,1,1,1,1,4
991,2,2,1,1,1,7
992,0,1,1,0,2,4
993,1,0,0,1,2,4
994,1,0,1,4,5,11
995,1,2,0,1,4,8
